0,2.287,3.419
1,4.176,3.906
2,3.419,6.159
3,7.524,8.864
4,3.830,1.966
5,4.103,4.029
6,6.253,7.227
7,2.665,4.731
8,2.971,3.581
9,1.995,3.409
10,2.886,2.296
11,3.062,4.139
12,9.080,10.372
13,0.762,2.655
14,2.106,4.567
15,9.376,9.283
16,7.676,6.407
17,8.911,7.482
18,9.832,9.080
19,5.581,3.426
20,5.808,5.959
21,3.255,3.126
22,3.644,3.307
23,4.903,4.700
24,8.145,7.449
25,1.705,3.054
26,2.175,2.111
27,8.500,9.641
28,6.151,6.742
29,1.880,3.111
30,8.504,9.231
31,8.311,7.991
32,5.476,6.205
33,3.418,4.553
34,9.662,8.354
35,8.037,7.410
36,2.645,3.901
37,9.741,9.264
38,1.989,2.168
39,2.360,2.425
40,2.850,4.888
41,6.345,8.156
42,5.905,6.631
43,0.611,3.190
44,1.226,1.037
45,9.854,9.828
46,5.872,8.026
47,6.956,6.513
48,2.017,4.440
49,0.886,1.477
50,9.144,9.361
51,2.599,3.413
52,4.508,7.212
53,8.513,9.113
54,9.519,8.846
55,5.671,6.814
56,8.674,8.139
57,0.704,0.961
58,0.259,1.963
59,3.492,3.857
60,2.281,3.435
61,5.130,5.587
62,0.352,2.150
63,3.422,5.676
64,7.758,8.205
65,3.021,3.313
66,7.250,7.101
67,3.088,4.283
68,0.276,1.055
69,0.803,0.723
70,7.029,8.224
71,1.804,3.354
72,1.473,2.261
73,1.942,4.054
74,3.821,6.732
75,8.336,9.481
76,5.342,3.851
77,0.710,1.155
78,1.396,3.484
79,9.417,8.865
80,5.658,4.743
81,9.263,7.465
82,2.832,2.777
83,0.872,1.726
84,1.895,2.070
85,5.423,6.274
86,7.124,8.385
87,5.675,5.027
88,1.779,3.255
89,5.694,5.882
90,0.912,0.419
91,9.715,9.955
92,7.232,6.858
93,3.815,5.801
94,2.887,4.659
95,2.204,5.067
96,4.788,4.933
97,7.889,8.936
98,4.595,4.382
99,5.182,6.359
100,0.453,1.005
101,7.437,5.997
102,7.938,8.964
103,3.430,4.150
104,5.853,6.928
105,9.029,9.110
106,1.295,3.941
107,7.992,6.017
108,9.830,10.086
109,8.207,7.057
110,2.538,2.384
111,8.481,8.627
112,5.301,6.461
113,5.829,5.303
114,0.937,3.172
115,2.520,4.293
116,6.001,6.307
117,8.504,7.283
118,5.705,7.279
119,9.382,9.770
120,5.229,5.007
121,4.158,4.550
122,5.885,6.623
123,7.640,8.680
124,3.239,3.895
125,5.570,5.875
126,6.835,8.188
127,1.824,1.523
128,8.425,8.674
129,1.234,2.742
130,5.432,5.619
131,1.474,3.262
132,6.796,8.394
133,9.338,6.848
134,2.528,4.455
135,2.220,3.486
136,7.442,6.665
137,9.489,8.959
138,6.354,5.823
139,7.866,7.302
140,2.232,2.963
141,1.989,1.954
142,5.620,6.466
143,8.425,9.826
144,6.232,5.982
145,9.980,9.258
146,2.188,4.650
147,8.856,8.976
148,8.491,7.880
149,6.797,6.758
150,3.156,3.768
151,2.797,5.073
152,9.880,9.056
153,0.288,0.714
154,1.661,3.366
155,7.239,5.851
156,2.591,3.263
157,4.552,6.794
158,4.946,7.268
159,2.198,2.735
160,7.540,5.456
161,6.407,5.927
162,0.270,0.859
163,5.926,7.251
164,2.714,4.718
165,3.161,4.644
166,9.487,8.056
167,9.135,10.350
168,1.592,3.796
169,3.215,3.815
170,1.867,3.364
171,9.780,10.245
172,8.944,6.738
173,4.979,6.224
174,6.309,2.496
175,9.167,9.200
176,3.532,3.506
177,1.591,1.838
178,2.203,3.963
179,3.856,3.706
180,3.349,4.756
181,3.836,5.019
182,8.115,7.954
183,6.065,8.095
184,7.974,8.453
185,5.503,5.663
186,5.892,4.329
187,1.731,2.851
188,7.571,8.578
189,8.360,8.168
190,6.294,5.057
191,8.914,7.767
192,2.627,4.501
193,7.701,6.026
194,0.065,1.766
195,2.430,4.816
196,7.960,8.137
197,6.141,5.197
198,6.108,6.673
199,9.453,8.965
200,9.390,10.382
201,7.787,6.123
202,4.423,6.171
203,8.243,9.686
204,4.225,5.318
205,8.679,9.048
206,0.771,3.243
207,4.033,4.740
208,0.057,2.301
209,1.045,3.044
210,0.854,2.569
211,2.832,2.102
212,0.814,3.031
213,2.916,4.027
214,5.202,5.197
215,5.646,6.734
216,9.751,8.952
217,3.409,3.849
218,8.351,8.998
219,2.147,2.583
220,3.159,4.049
221,7.680,8.423
222,4.624,4.700
223,6.618,8.632
